Sl no,Usecases for Application Page,Regression_3rdaug,regression_13aug
1,"The Application Page should be displayed with following detailes:
1.Appsmith logo on top left corner
2.The user Name on topright corner
3.The left pane should be displayed with 
a.Organizations
b.Getting started 
4.Search apps search bar
5.Share button
6.Organization name with dropdown icon
7.All the apps(only 5 apps in a row)
8.Whats New? Text on bottom left corner
9.Question mark icon on bottom right corner",pass,pass
2,"When the user click on user Icon the following details should be displayed: 
a.Username in blue color
b.User email id
c.Theme Toggle
d.Edit Profile menu
e.Signout menu",pass,pass
3,"The theme toggle should be displayed with 2 option 
1.Light 
2.dark",pass,pass
4,When the user select the light theme the background of the page should be diplsyed White,pass,pass
5,When the user select the dark theme the background of the page should be diplsyed Black,pass,pass
6,The user should be able to click on edit profile menu,pass,pass
7,"The user user should be navigated to Profile page and follwoing detailes should be displayed:
1.General tab
a.The display name link
b.Display name label
c.Email
d.Reset Password link",pass,pass
8,The user should be able to upload the image from the system the image size should not be more than 3 mb,failed,failed
9,"The image can be PNG,JPEG format",,
10,The user should be able to edit the name of the user from display name placeholder and this placeholder cant be empty,pass,pass
11,The email section should be dipslayed with the Email of the user,pass,pass
12,When the user click on reset password link the user should be logged out automatically and the reset email should be sent to user,failed we wont get email,failed we wont get email
13,"The email should be displayed in Below format
Hello,

Forgot the password to your Appsmith account? No worries, we've got you covered.
Reset Password button
The link will expire in 48 hours. If you didn't request a password reset, you can safely ignore this email.

Cheers
Devs at Appsmith",failed we wont get email,failed we wont get email
14,When the user click on reset password button the user should be navigated to reset password pop up,failed we wont get email,failed we wont get email
15,"The new reset password pop up should be displayed with follwoing detailes:
1.Reset Password text
2.Back to sign in Link
3.New password Placeholder
4.reset Button",failed we wont get email,failed we wont get email
16,The reset Button should be diabled till the user enter the new password,failed we wont get email,failed we wont get email
17,"When the user should nbe able to enter the new password in Newpassword Placeholder User should have to enetr the password of 6 character else the error message should display ""Please provide a password with a minimum of 6 characters""",failed we wont get email,failed we wont get email
18,"When the user enter the new password and click on reset button the success message should be displayed"" Your password has been reset"" with login link",failed we wont get email,failed we wont get email
19,When the user click on Login Link the user should be navigated to Sign in Page,failed we wont get email,failed we wont get email
20,The user should be able to sign in with email and the new password,pass,pass
21,When the user click on Signout menu the user should be navigated to sign in Page,pass,pass
22,The organization section should be display with all organization names which the user has access along with the Create organization menu,pass,pass
23,"When the user click on create new organization the new organization should get created with default name""Untitled organization""",pass,pass
24,The user is allowed to click on any Organization name that they have access for,pass,pass
25,When the user click on any one organization name all the apps related to that organization should be displayed in the right side,pass,pass
26,"The get started section should be displayed with following menu:
a.Documentation 
b.Welcome Tour",pass,pass
27,When the user click on Documentation the user should be navigated to new window the documentation list,pass,pass
28,"when the user click on welcome tour the onboadring should be displayed  ""Welcome to Appsmith!
We'd like to show you around! Let's build an app for remote teams to do async meeting updates."" with No Thanks and lets go button",pass,pass
29,When the user click on No Thanks Button the Onboarding pop up should be closed,pass,pass
30,When the user click on Lets go The user should be naviagted to super stand up App page whioch has Start building button,failed,pass
31,"1.when user click on Start bulding button the user should be navigated to datasources page with a pop up ""Mission 1
Query the Super Updates DB
1
Create a new query that can fetch standup updates from across the multiverse
2
Hit Run to check it's response""
The paginatioon should be on left corner and Do it for me button on right
2.The end tour text should be displayed on the top bar right corner 
3.When user click on it the tour should be ended",failed,pass
