Sl no,Usecases for collaboration Page,27-Jul,06-Aug,16th sep,,,
1,There should be message box and Pencil Icon should be displayed on header section,pass,pass,pass,,,
2,Verify that by default the edit Icon should be selected,pass,pass,pass,,,
3,"Verify that the tooltip ""Edit Mode"" is displayed when the user hover on Pencil Icon and tooltip ""Comment Mode""should be displayed when user hover on the message box Icon",pass,pass,pass,,,
4,"From keyboard when the user click on ""C"" the comment mode should get activated and when we click on V the edit mode should get activated",pass,pass,pass,,,
5,Suppose the first time user click on comment icon the onboarding should be displayed ,pass,pass,pass,,,
6,If the user is as admin and developer the onboarding should be different ,pass,failed,,,,
7,If the user is an viwer only then the onboarding should be different,pass,failed,,,,
8,"once the onboarding finish the comment icon should highlight with red dot with the tooltip ""Click on the icon to access comments""",pass,failed in Viwer the highlight happen for bopth the icon instaed of one,,,,
9,"The tooltip should be displayed on Canvas ""Click anywhere on the canvas to leave a comment""",pass,pass,,,,
10,"when user add his first comment the Bot should be displayed with following messge ""Hello! 👋 I'm here to help you with your app!
You can get help from team appsmith by tagging @appsmith in your comment. Feel free to say Hi!"" and the tooltip should be displayed on resolve button ""resolve this comment when you're done",pass,pass,,,,
11,"When the user resolve the comment the 2nd bot should get triggered with new id""0"" ""Apps get shipped faster when team members are involved early on!
Invite a teammate to gather requirements, brainstorm, or get some feedback using the @ symbol followed by their email.""",pass,pass,,,,
12,If the user tries to tag the new users inside the bot comment threads the comment should not be visible for the taged users,failed,failed,,,,
13,Tag appsmith and check the support email is recieved or not,no,no,,,,
14,for the viewer the bot comments should not be displayed,pass,pass,,,,
15,When the user click on Message box Icon there should be a comment section on the left pane,pass,pass,,,,
16,When the User Place the comment Box the comment box color should change to orange and user should be able to add comments,pass,pass,,,,
17,"The comments pop up should be displayed with ""Add a comment use@ to mention Placeholder""
1.Cancel button
2.Post Button
3.EMoji",pass,pass,,,,
18,"In the Add comment Placeholder the user should be able to add comments in the placeholder
check->Empty Spaces are Not Allowed",failed,failed,,,,
19,When the user click on cancel button the pop up should be closed,pass,pass,,,,
20,When there is no comment added the post button should be disabled when the user add the comment the post button should be enabled,pass,pass,,,,
21,when the user click on the post button the comment should get added in the commenta pane and the pop up should be closed,pass,pass,,,,
22,when the user enter @ in comment section All the users working on that Application name should be displayed in dropdown the selected user name should be displayed in Comments section Note: the user names should be in alphabetical order',failed,failed,,,,
23,When the user try to add the user who is not working in the application then the there should be a button invita new user click on it application share pop up should be displayed and the user should eb able to invite the new user,pass,pass,,,,
24,"The when the user click on Emoji the emoji pop up should be displayed it should be displayed with following detailes:
1.Search bar
2.Frequently Used emoji
3.Other Emoji",pass,pass,,,,
25,In the search Bar the user should be able to search the name of emoji,pass,pass,,,,
26,"There should be 2 menu on top corner of the comment pop up
1.Emoji
2.Resolved icon
3.3 Dots Icon",pass,pass,,,,
27,When the user hover on the Emoji there should be a tooltip saying what it does and when the user select any on emoji it will be added as a Reply for the comment,failed,failed,,,,
28,When the user hover on the Resolved icon The tooltip should be displayed and when the user click on it the Comment should be removed from UI and Comments section,failed,failed,,,,
