usecases,DP->,
"validate the  ""your account "" tooltip when the user hover on User name icon in the application page",,questions
"Validate the  ""user names "" tooltip when the user hover on the user icon next to the share button in all the organization ",,1.The welcome tour should be displayed only when the canavs is opened
"Validate the ""Help and resource"" tooltip when user hover on ? icon on bottom right corner of application page",,when there are multiple users how the tooltip should displayed in the application 
"Validate the ""Application deleted UNDO"" toast bar when the user delete any application from application page",,now the datasources is  displayed instaed of API and databases
Validate that the toast bar should be displayed on the top right pane,,
Validate that there should be only one toast bar displayed at a time,,
validate if the user clicks on Undo from toast bar the the action should be retrived,,
Validate that the onboadring pop up should be displayed when the user navigate to canavas and it should not be displayed on the application page,,
"The welcome tour pop up should be displayed with 2 button 
1.Not right now
2.Lets Go",,
Validate if the user click on Lets go button then the flow is same as before the stand up app should be created,,
Validate that if the user click on Not right now then modal will minimise to the bottom state so they can reactive it if needed.,,
"Validate the ""Back to home page"" tooltip should be displayed when user hover on the appsmith logo on top left corner",,
"Validate the ""Rename Appliaction"" tooltip should be displayed when user hover on the default application name",,
"Validate the ""Add a new page"" tooltip should be displayed when user hover on ""+"" icon next to pages text in Entity pane",,
"Validate the ""Find and add widget"" tooltip should be displayed when user hover on ""+"" icon next to widgets text in Entity pane",,
"Validate the ""Find and add widget"" tooltip should be displayed when user hover on ""+"" icon next to widgets text in Entity pane",,
"Validate the ""Help and resources"" tooltip should be displayed when the user hover on ? in the menu bar",,
"Validate the ""copy element"" tooltip when the user hover on Copy icon when the user expand the Widgets",,
"Validate the ""Choose how your application looks on desktop, tablet and mobile devices"" tooltip when the user hover on the responsive icon on top of the canvas",,
"Validate the ""All changes saved""  tooltip when user hover on Saved status on the header section",,
"Validate the ""Unable to save changes""  tooltip when user hover on Unable ro save  status on the header section",,
"Validate the ""Deploy the current version of the application"" tooltip when the user hover on the deploy button",,
"Validate the ""Invite your team to Appsmith"" tooltip when user hover on the share button when this is users first share and till now no one has the access to the application other than the creator",,
"Validate the ""Shared with 1 other"" tooltip when user hover on the share button when this is users had shared the application with only 1 user ",,
"Validate the ""Shared with 3 people"" tooltip when the user hover on share button , this should display when the user has shared app with multiple users so the count should be correct",,
"Validate the ""Your account"" tooltip when user hover on the username icon",,
"Validate the ""Open bug tracker"" tooltip when user hover on the debbuger icon",,
"Validate ""New page added"" toast bar when user add the new page",,
"Validate the ""Widget ‘name of the widget’ copied"" toast should be displayed when the user copy any of the widget",,
"Validate the ""Deleting ‘name of the widget’ Widget’ UNDO"" toast should be displayed when the user delete any of the widget",,
"Valdate that when the user click on Undo the action The action should be canceled and the page should like before and the following toast message should be displayed ""Action undone""",,
"Validate that when the user successfully delet the widget following tost bar should be displayed ""‘name of the widget’ Widget deleted""",,
"Validate the ""Page ‘page name’ hidden"" toast should be dsplayed when the user hide any of the pages ",,
"Validate the ""New page added"" toast when the user add the new page ",,
"Validate the ""Page ‘page name’ deleted"" toast should be dsplayed when the user delete any of the pages ",,
"Validate the ""Page ‘page name’ set as Homepage "" toast should be dsplayed when the user set any of the page as a home page",,
"Validate the ""Project deployed "" toast should be dsplayed when the user deploy the application",,
"Validate the ""People added "" toast should be dsplayed when the new user is added to the application",,
"Validate the ""Person removed"" toast should be dsplayed when the user is delete from the application",,
Signbposting onboarding for the new user only,release_13sep,
When the user login for the first time the user should be navigated directly to the canvas and the pop should be displayed,,
"The pop should contains following detailes:
1.Here’s how Appsmith works header
2.Connect your
database or API Text with an image
3.Connect queried data to pre-built widgets and customise with Javascript text with an image
4.Instantly publish and share your apps  text with an image
5.Build my first app button
6.Want more help getting started, text followed by Let’s build an app together.text link
7.close icon",,
When the user click on Lets buils an app together the Onboarding should start and the onboarding flow will be same as our currenbt onboarding,,
