Area,Description,Type of test case,Steps,Expected Result,Actual Result,Test Result/ Comments,Author,Account Used for testing,Is Test Automated or Not,comments
Deploy Button,Verify the display of git connection dropdown,UI,"1.Go to Canvas
2.Click on Down arrow next to deploy button
4.Verify the display of git connection link","The dropdown should be displayed with 2 link
1.Connect to git repository link 
2.Current deploy version link",pass,,,,No,
Deploy Button,Verify the functionality of deploy button before the git connection,Functionality,"1.Go to Canvas
2.Click on Deploy button",The application should be deployed and the view mode should be displayed,pass,,,,Automated,
Deploy Button,verify the functionality when user click on Current deployed mode link,Functionality,"1.Go to Canvas
2.Click on Down arrow next to deploy button
3.Click on Current Deploy mode link and verify the functionality ",The application should be deployed and the view mode should be displayed with the current deployed version of the application,pass,,,,Automated,
Deploy Button,Deploylink under Application name dropdown, ,    ,    ,,,,,No,
Deploy Button,"Verify the display of Deploy, Current deploy,Git Connection Link under Application name dropdown",UI,"1.Go to Canvas
2.click on dropdown icon next o application name
3.Click on Deploy menu verify the display","When the user click on deploy menu the submenu should be displayed with 3 links
1.Deploy
2.Current deplyed Version
3.Connect Git",pass,,,,No,
Deploy Button,Verify the functionality when user click on Deploy Link under Application name dropdown,Functionality,"1.Go to Canvas
2.click on dropdown icon next o application name
3.Verify the functionality when user click on Deploy Link under Application name dropdown",The application should be deployed and the view mode should be displayed,pass,,,,Automated,
Deploy Button,Verify the functionality when user click on Current deployed version Link under Application name dropdown,Functionality,"1.Go to Canvas
2.click on dropdown icon next o application name
3.Verify the functionality when user click on Current deployed version  Link under Application name dropdown",The application should be deployed and the view mode should be displayed with the current deployed version of the application,pass,,,,Automated,
Deploy Button,Verify the functionality when user click on Connect to git repository Link under Application name dropdown,Functionality,"1.Go to Canvas
2.click on dropdown icon next o application name
3.Verify the functionality when user click on Connect to git repository Link under Application name dropdown",The Git Connection pop up should be displayed ,pass,,,,Automated,
Deploy Button,Verify the functionality when user click on Deploy Link under Application name dropdown after successful git connection,Functionality,"1.Go to Canvas
2.click on dropdown icon next o application name
3.Click on Deploy menu verify the display",The Git Connection pop up should be displayed ,pass,,,,Automated,
Deploy Button,Verify the functionality when user click on Current deployed version Link under Application name dropdown after successful git connection,Functionality,"1.Go to Canvas
2.click on dropdown icon next o application name
3.Verify the functionality when user click on Current deployed version  Link under Application name dropdown",The current deployed version of the application should be displayed in the new tab,pass,,,,Automated,
Deploy Button,Verify the functionality when user click on Connect to git repository Link under Application name dropdown after successful git connection,Functionality,"1.Go to Canvas
2.click on dropdown icon next o application name
3.Click on Deploy menu verify the display", The Connect Git repo Link should not be displayed,pass,,,,Automated,
Connect Git button,Verify the display of connect git button ,UI,"1.Go to Canvas
2.Verify the display of connect git button at bottom left corner",The Connect Git Button should be displayed at the bottom left corner of the canvas,pass,,,,No,
Connect Git button,Verify the functionality when user click on Connect git button,Functionality,"1.Go to Canvas
2.Verify the functionality when user click on Connect git button",The Git Connection pop up should be displayed ,pass,,,,Automated,
Connect Git button,Connect Git link Below Deploy button,,,    ,,,,,No,
Connect Git button,Verify the functionality when user click on Connect to git repository link under Deploy Dropdown ,Functionality,"1.Go to Canvas
2.Click on Down arrow next to deploy button
3.Verify the Functionality of git connection link",The Git Connection pop up should be displayed ,pass,,,,Automated,
Connect Git button,Verify the functionality of connect git when user is doing onbaording,Functionality,"1.Go to Home page
2.Click on Welcome tour
3.Once the onboarding started 
4.Verify the functionality of Connect Git button","The user will be faced with 2 scenario here:
1.When the onboarding tour is going on and if the user click on Connect Git the message should be displayed as"" Connecting to a git repo is disabled during the onboarding tour""
2.If the Tour is completed or Skipped then The git coonection pop up should be displayed",pass,,,,Automated,haojin111
Connect Git button,Verify the functionality How the user Can connect for Git,Functionality,"1.Go to Home page
2.Verify the functionality How the user Can connect for Git
Note: verify all these sceanrio with All the Login Menthod i.e. Signup mode
b.Github login
c.Google login","The User can connect there application to git In following scenario:
1.If the application is old not connected to git can be connected 
2.The forked application can be connected to git
3.The duplicate application can be connected to git
4.The new application Can be connected to git 
5.The shared application can be connected to git with only Admin or developer access
6.When the user signup for the appsmith he can connect his first application build ",break down to different point,,,,No,"Discuss with BE once, not sure if there's any diff in applications that are forked or duplicated. Similarly both new and old applications won't have any different conditions in terms of being able to connect with git"
